t,R,D_eff,M_tau,R_ok,D_ok,M_ok,Pi_window,Access_all,dataset,subject,condition,filename,band,run,eyes
31.58,0.24683364266444774,86.60998512303401,0.004789925604672414,True,True,True,1.0,1,Chennu,3,baseline,03-2010-anest 20100211 142.003.set,alpha,,
33.084,0.2587760114795505,86.60659530983312,0.003960029570080245,True,True,True,1.0,1,Chennu,3,baseline,03-2010-anest 20100211 142.003.set,alpha,,
34.588,0.4365318425334429,87.10808518378388,0.004707459525988826,True,False,True,0.6666666666666666,0,Chennu,3,baseline,03-2010-anest 20100211 142.003.set,alpha,,
36.092,0.3581342780708282,87.01875713207083,0.009776564811059915,True,True,False,0.6666666666666666,0,Chennu,3,baseline,03-2010-anest 20100211 142.003.set,alpha,,
37.596,0.24981502799985236,86.7402565186506,0.009785496109996019,True,True,False,0.6666666666666666,0,Chennu,3,baseline,03-2010-anest 20100211 142.003.set,alpha,,
39.1,0.23054980770749406,86.5452308349208,0.0021975548167543564,True,True,True,1.0,1,Chennu,3,baseline,03-2010-anest 20100211 142.003.set,alpha,,
40.604,0.20110670810622178,86.42495578546702,0.002219316652261643,False,False,True,0.3333333333333333,0,Chennu,3,baseline,03-2010-anest 20100211 142.003.set,alpha,,
42.108,0.20981138432739627,86.39133242348387,0.001927819639141358,False,False,False,0.0,0,Chennu,3,baseline,03-2010-anest 20100211 142.003.set,alpha,,
43.612,0.2538102792103124,86.57422285478032,0.002039635030130565,True,True,True,1.0,1,Chennu,3,baseline,03-2010-anest 20100211 142.003.set,alpha,,
45.116,0.3270961234417164,86.81671720711158,0.0019706653898065507,True,True,True,1.0,1,Chennu,3,baseline,03-2010-anest 20100211 142.003.set,alpha,,
46.62,0.35931603394431705,86.96026801654489,0.00834413241669832,True,True,False,0.6666666666666666,0,Chennu,3,baseline,03-2010-anest 20100211 142.003.set,alpha,,
48.124,0.24702293922336827,86.56765654565737,0.008116556432075763,True,True,True,1.0,1,Chennu,3,baseline,03-2010-anest 20100211 142.003.set,alpha,,
49.628,0.3040873828031094,86.6088142257382,0.007269935719897074,True,True,True,1.0,1,Chennu,3,baseline,03-2010-anest 20100211 142.003.set,alpha,,
51.132,0.3009150462345687,86.66498852290289,0.004444377073587764,True,True,True,1.0,1,Chennu,3,baseline,03-2010-anest 20100211 142.003.set,alpha,,
52.636,0.24214838131268132,86.55184540241294,0.005211971459652275,True,True,True,1.0,1,Chennu,3,baseline,03-2010-anest 20100211 142.003.set,alpha,,
54.14,0.2606042009285045,86.80825102546939,0.00877868360814731,True,True,False,0.6666666666666666,0,Chennu,3,baseline,03-2010-anest 20100211 142.003.set,alpha,,
55.644,0.28039200504792006,86.59769259753156,0.008697616671846334,True,True,False,0.6666666666666666,0,Chennu,3,baseline,03-2010-anest 20100211 142.003.set,alpha,,
57.148,0.24430327146961248,86.44681054519035,0.00513149806295022,True,True,True,1.0,1,Chennu,3,baseline,03-2010-anest 20100211 142.003.set,alpha,,
58.652,0.2832297608666543,86.50099766244594,0.003613993885880861,True,True,True,1.0,1,Chennu,3,baseline,03-2010-anest 20100211 142.003.set,alpha,,
60.156,0.34153893880522623,86.68524177788473,0.0022659138178916325,True,True,True,1.0,1,Chennu,3,baseline,03-2010-anest 20100211 142.003.set,alpha,,
61.66,0.3135720546408586,86.78040406758552,0.004152264263070284,True,True,True,1.0,1,Chennu,3,baseline,03-2010-anest 20100211 142.003.set,alpha,,
63.164,0.2695924798036178,86.6796596125492,0.005786088539424389,True,True,True,1.0,1,Chennu,3,baseline,03-2010-anest 20100211 142.003.set,alpha,,
64.668,0.183723284435896,86.32586462415742,0.005046319130925161,False,False,True,0.3333333333333333,0,Chennu,3,baseline,03-2010-anest 20100211 142.003.set,alpha,,
66.172,0.23335784563290066,86.50484653208825,0.003839858205799196,True,True,True,1.0,1,Chennu,3,baseline,03-2010-anest 20100211 142.003.set,alpha,,
67.676,0.23013679056218,86.47761500830062,0.004029448596419838,True,True,True,1.0,1,Chennu,3,baseline,03-2010-anest 20100211 142.003.set,alpha,,
69.18,0.30659415748146085,86.69644103846288,0.008546177131973682,True,True,False,0.6666666666666666,0,Chennu,3,baseline,03-2010-anest 20100211 142.003.set,alpha,,
70.684,0.5112554780357624,87.12200867630911,0.007789709291392775,True,False,True,0.6666666666666666,0,Chennu,3,baseline,03-2010-anest 20100211 142.003.set,alpha,,
72.188,0.28839746621373524,86.83005080802508,0.003797166012719605,True,True,True,1.0,1,Chennu,3,baseline,03-2010-anest 20100211 142.003.set,alpha,,
73.692,0.25838313135139884,86.5976567729857,0.003504590402625247,True,True,True,1.0,1,Chennu,3,baseline,03-2010-anest 20100211 142.003.set,alpha,,
75.196,0.24872336905988268,86.4903612699992,0.0033522533636841205,True,True,True,1.0,1,Chennu,3,baseline,03-2010-anest 20100211 142.003.set,alpha,,
76.7,0.27922902126515603,86.6974874821136,0.004062033234982417,True,True,True,1.0,1,Chennu,3,baseline,03-2010-anest 20100211 142.003.set,alpha,,
78.204,0.21998062715128924,86.37858677749867,0.004607825094874842,True,False,True,0.6666666666666666,0,Chennu,3,baseline,03-2010-anest 20100211 142.003.set,alpha,,
79.708,0.2565241704612917,86.56911020309595,0.0032925784129612286,True,True,True,1.0,1,Chennu,3,baseline,03-2010-anest 20100211 142.003.set,alpha,,
81.212,0.23021097572109028,86.72070234786757,0.0018120814917782049,True,True,False,0.6666666666666666,0,Chennu,3,baseline,03-2010-anest 20100211 142.003.set,alpha,,
82.716,0.20579334865227078,86.33953529140427,0.001737764603094673,False,False,False,0.0,0,Chennu,3,baseline,03-2010-anest 20100211 142.003.set,alpha,,
84.22,0.21302351232959368,86.46495390159782,0.003053204065392707,False,True,True,0.6666666666666666,0,Chennu,3,baseline,03-2010-anest 20100211 142.003.set,alpha,,
85.724,0.2955408161168706,86.89675350540307,0.0035241725725210595,True,True,True,1.0,1,Chennu,3,baseline,03-2010-anest 20100211 142.003.set,alpha,,
