dataset,subject,condition,band,R_mean,D_mean,M_mean,Pi,Access_all,n_windows,theta_power,alpha_power,beta_power,gamma_power,alpha_gamma_ratio,spectral_entropy,aperiodic_slope
Chennu,5,moderate,alpha,0.23189753991366363,86.6145918405741,0.0033907163865180864,0.6896551724137931,0.3620689655172414,58.0,0.09460389140851588,0.28914396588970576,0.5210923522312654,0.01338323220631498,21.6049427679859,0.8865026382161466,-1.901426092552841
Chennu,5,moderate,gamma,0.16413286000287175,86.42546173324666,0.0016421406188796715,0.8275862068965517,0.5344827586206896,58.0,0.09460389140851588,0.28914396588970576,0.5210923522312654,0.01338323220631498,21.6049427679859,0.8865026382161466,-1.901426092552841
Chennu,6,baseline,alpha,0.29468513255746176,86.8047604712868,0.005558030308564302,0.8275862068965517,0.603448275862069,58.0,0.10299273080963141,0.5677699425073732,0.16326400438107302,0.006126150331695901,92.67972734477735,0.7751066261931592,-2.4531175887250876
Chennu,6,baseline,gamma,0.1622845786111678,86.388603055463,0.0014412927738932902,0.8275862068965517,0.5862068965517241,58.0,0.10299273080963141,0.5677699425073732,0.16326400438107302,0.006126150331695901,92.67972734477735,0.7751066261931592,-2.4531175887250876
Chennu,6,moderate,alpha,0.2564553672953507,86.67982744995314,0.004365833260489135,0.6149425287356322,0.3275862068965517,58.0,0.09291428419831169,0.30406859779664724,0.3425202322540663,0.0055704756552605855,54.58575112071596,0.8316884755209741,-2.620228844905975
Chennu,6,moderate,gamma,0.15831123059566318,86.3879857402678,0.002171732029927634,0.7183908045977011,0.3103448275862069,58.0,0.09291428419831169,0.30406859779664724,0.3425202322540663,0.0055704756552605855,54.58575112071596,0.8316884755209741,-2.620228844905975
Chennu,7,baseline,alpha,0.24664658619038485,86.57743379109567,0.0025511447716670427,0.8275862068965517,0.5517241379310345,58.0,0.21713546554551655,0.18823239503523245,0.17212168479522819,0.02201136339603933,8.551600899949294,0.8308545906265403,-2.0216005791742795
Chennu,7,baseline,gamma,0.16097611321110594,86.39453819174898,0.0015354338704404746,0.8275862068965517,0.603448275862069,58.0,0.21713546554551655,0.18823239503523245,0.17212168479522819,0.02201136339603933,8.551600899949294,0.8308545906265403,-2.0216005791742795
Chennu,7,moderate,alpha,0.24576092905856584,86.61686471493239,0.003253576956919344,0.8103448275862067,0.5,58.0,0.0579052522666373,0.1999152058426712,0.45679629747780615,0.006707728206401114,29.80371292058174,0.8447653484550972,-2.390810003566216
Chennu,7,moderate,gamma,0.16839840302239645,86.4847694159447,0.0021365742397125996,0.6264367816091954,0.2413793103448276,58.0,0.0579052522666373,0.1999152058426712,0.45679629747780615,0.006707728206401114,29.80371292058174,0.8447653484550972,-2.390810003566216
Chennu,8,baseline,alpha,0.29010095906072375,86.76776410193594,0.003019409963379186,0.8275862068965517,0.6379310344827587,58.0,0.12253877729592748,0.277283746406881,0.3298840122265065,0.02909150138580115,9.53143472109298,0.8848530209527319,-1.6768635060889245
Chennu,8,baseline,gamma,0.15794348306382083,86.35330686700735,0.0011254197188522372,0.8275862068965517,0.5862068965517241,58.0,0.12253877729592748,0.277283746406881,0.3298840122265065,0.02909150138580115,9.53143472109298,0.8848530209527319,-1.6768635060889245
Chennu,8,moderate,alpha,0.21269798539275198,86.54697597009952,0.00289629690066384,0.735632183908046,0.5172413793103449,58.0,0.0842278671927231,0.2629583886432013,0.4696023238105866,0.00926378053264422,28.38564533002357,0.871042359545766,-2.2472958745354683
Chennu,8,moderate,gamma,0.16176375068293483,86.36420479546871,0.0011129626402059728,0.8620689655172413,0.6724137931034483,58.0,0.0842278671927231,0.2629583886432013,0.4696023238105866,0.00926378053264422,28.38564533002357,0.871042359545766,-2.2472958745354683
Chennu,9,baseline,alpha,0.4960783959739149,87.0694302649377,0.005367469137459054,0.8275862068965516,0.6551724137931034,58.0,0.07258125440040591,0.6591151461992545,0.10757970014204525,0.007623612227596256,86.45706607779788,0.6832835508694155,-2.2571423455438953
Chennu,9,baseline,gamma,0.16220595987686803,86.38322976883538,0.0013232245617694842,0.8275862068965517,0.603448275862069,58.0,0.07258125440040591,0.6591151461992545,0.10757970014204525,0.007623612227596256,86.45706607779788,0.6832835508694155,-2.2571423455438953
Chennu,9,moderate,alpha,0.3336071267034555,86.81623749998302,0.0044964569650717484,0.7356321839080461,0.5517241379310345,58.0,0.053592999400831766,0.3478411490021247,0.4444093946841299,0.00904080191054169,38.474590241609306,0.8503929645021497,-2.0570455477434155
Chennu,9,moderate,gamma,0.16550496871811946,86.40213747776546,0.0013471880727884118,0.8620689655172412,0.6206896551724138,58.0,0.053592999400831766,0.3478411490021247,0.4444093946841299,0.00904080191054169,38.474590241609306,0.8503929645021497,-2.0570455477434155
