subject,task,condition,acq,run,filename,channel_set,n_channels,gamma_rel_power,hf_rel_power
1045,sed2,sed2,rest,1,sub-1045_task-sed2_acq-rest_run-1_eeg.vhdr,frontotemporal,30,0.037620601013277105,0.18630406498474306
1045,sed2,sed2,rest,2,sub-1045_task-sed2_acq-rest_run-2_eeg.vhdr,all_eeg,62,0.009232707356777748,0.011531904768301777
1045,sed2,sed2,rest,2,sub-1045_task-sed2_acq-rest_run-2_eeg.vhdr,posterior,18,0.006948734609284136,0.005233487174822439
1045,sed2,sed2,rest,2,sub-1045_task-sed2_acq-rest_run-2_eeg.vhdr,centro_posterior,32,0.008530317699801665,0.010448768461215403
1045,sed2,sed2,rest,2,sub-1045_task-sed2_acq-rest_run-2_eeg.vhdr,frontotemporal,30,0.010549985312231747,0.013563243877450016
1045,sed2,sed2,rest,3,sub-1045_task-sed2_acq-rest_run-3_eeg.vhdr,all_eeg,62,0.0030992083019372165,0.0030733113052061525
1045,sed2,sed2,rest,3,sub-1045_task-sed2_acq-rest_run-3_eeg.vhdr,posterior,18,0.002933115755292921,0.002977963636778902
1045,sed2,sed2,rest,3,sub-1045_task-sed2_acq-rest_run-3_eeg.vhdr,centro_posterior,32,0.003438124897805253,0.0043125613449746915
1045,sed2,sed2,rest,3,sub-1045_task-sed2_acq-rest_run-3_eeg.vhdr,frontotemporal,30,0.002884609213494408,0.002288628784110039
1045,sed,sed,rest,1,sub-1045_task-sed_acq-rest_run-1_eeg.vhdr,all_eeg,62,0.005404797855618161,0.002717359094183122
1045,sed,sed,rest,1,sub-1045_task-sed_acq-rest_run-1_eeg.vhdr,posterior,18,0.004977997181555991,0.0035406745933039743
