dataset,subject,condition,band,filename,run,source,metric,first,second,eyes,recording
Chennu,10,mild,alpha,10-2010-anest 20100305 130.010.set,,phase_only,M_tau,0.002537130150269596,0.0020185958487809654,,
Chennu,10,moderate,alpha,10-2010-anest 20100305 130.015.set,,phase_only,Pi,0.4022988505747127,0.37931034482758613,,
Chennu,10,moderate,alpha,10-2010-anest 20100305 130.015.set,,phase_only,R,0.079332860377041,0.07874329426949478,,
Chennu,10,moderate,alpha,10-2010-anest 20100305 130.015.set,,phase_only,D_eff,7.758451602715437,7.734524720764339,,
Chennu,10,moderate,alpha,10-2010-anest 20100305 130.015.set,,phase_only,M_tau,0.0017471371753350897,0.0017348246505237892,,
Chennu,10,recovery,alpha,10-2010-anest 20100305 130.028.set,,phase_only,Pi,0.7011494252873562,0.5632183908045977,,
Chennu,10,recovery,alpha,10-2010-anest 20100305 130.028.set,,phase_only,R,0.0914498453619008,0.13287791330965207,,
Chennu,10,recovery,alpha,10-2010-anest 20100305 130.028.set,,phase_only,D_eff,9.401109091092042,6.4756703913107,,
Chennu,10,recovery,alpha,10-2010-anest 20100305 130.028.set,,phase_only,M_tau,0.0020193322818584654,0.0030257935151481344,,
Chennu,13,baseline,alpha,13-2010-anest 20100322 132.003.set,,phase_only,Pi,0.8620689655172413,0.7931034482758621,,
Chennu,13,baseline,alpha,13-2010-anest 20100322 132.003.set,,phase_only,R,0.18919202546341143,0.1640282655228616,,
Chennu,13,baseline,alpha,13-2010-anest 20100322 132.003.set,,phase_only,D_eff,5.788009295011439,6.061958135514309,,
Chennu,13,baseline,alpha,13-2010-anest 20100322 132.003.set,,phase_only,M_tau,0.004137330310081211,0.004182640206351276,,
Chennu,13,mild,alpha,13-2010-anest 20100322 132.008.set,,phase_only,Pi,0.7241379310344827,0.735632183908046,,
Chennu,13,mild,alpha,13-2010-anest 20100322 132.008.set,,phase_only,R,0.15372182246459962,0.16675540019771787,,
Chennu,13,mild,alpha,13-2010-anest 20100322 132.008.set,,phase_only,D_eff,5.799600375854564,5.557741758772463,,
