source,dataset,band,condition,subject,metric,run1,run2
phase_only,DS005620,gamma,sed2,1046,D_eff,14.788215240062668,17.76817005432295
phase_only,DS005620,gamma,sed2,1054,D_eff,12.667472360559817,12.885760672697874
phase_only,DS005620,gamma,sed2,1055,D_eff,13.361968650201147,14.7463709414364
phase_only,DS005620,gamma,sed2,1057,D_eff,15.120578309543536,13.963118261848274
phase_only,DS005620,gamma,sed2,1060,D_eff,14.02554023710943,14.333867924176678
phase_only,DS005620,gamma,sed2,1061,D_eff,13.79458265778357,12.532826592082028
phase_only,DS005620,gamma,sed2,1062,D_eff,14.947188690704234,13.648114453664084
phase_only,DS005620,gamma,sed2,1064,D_eff,13.18396893657743,11.821102315571595
phase_only,DS005620,gamma,sed2,1067,D_eff,13.36899769234811,14.762199061943589
phase_only,DS005620,gamma,sed2,1071,D_eff,12.709911164335288,12.260804005833604
phase_only,DS005620,gamma,sed2,1074,D_eff,15.354365284980505,12.94905355337837
phase_only,DS005620,gamma,sed2,1010,M_tau,0.0015562066255826,0.0019943988255094
phase_only,DS005620,gamma,sed2,1016,M_tau,0.0014155637690412,0.0015152063480116
phase_only,DS005620,gamma,sed2,1017,M_tau,0.0023826637393527,0.00230217933932
phase_only,DS005620,gamma,sed2,1022,M_tau,0.0027200051700355,0.0026498647637167
phase_only,DS005620,gamma,sed2,1024,M_tau,0.0024109629332005,0.0022260275899224
phase_only,DS005620,gamma,sed2,1033,M_tau,0.0014853774205529,0.0014002362574569
phase_only,DS005620,gamma,sed2,1045,M_tau,0.0060754393920222,0.0025155076636487
phase_only,DS005620,gamma,sed2,1046,M_tau,0.0022356674700052,0.0053582877737912
phase_only,DS005620,gamma,sed2,1054,M_tau,0.0041641254533373,0.0025803827680392
phase_only,DS005620,gamma,sed2,1055,M_tau,0.0046697909031274,0.0049264321896727
phase_only,DS005620,gamma,sed2,1057,M_tau,0.0018065947533865,0.0021174420183833
phase_only,DS005620,gamma,sed2,1060,M_tau,0.0034510447274315,0.0058500722548799
phase_only,DS005620,gamma,sed2,1061,M_tau,0.0046083507627481,0.0026424771389704
phase_only,DS005620,gamma,sed2,1062,M_tau,0.0174900825133388,0.0042177552267804
phase_only,DS005620,gamma,sed2,1064,M_tau,0.0040081693649313,0.0235041120412332
phase_only,DS005620,gamma,sed2,1067,M_tau,0.0030211922830155,0.0052116063941856
phase_only,DS005620,gamma,sed2,1071,M_tau,0.0071992130323876,0.0180630787545099
phase_only,DS005620,gamma,sed2,1074,M_tau,0.0018437828346767,0.0066199537057561
csd_phase_only,DS005620,alpha,sed,1010,Pi,0.1666666666666666,0.5344827586206896
csd_phase_only,DS005620,alpha,sed,1016,Pi,0.8333333333333334,0.8793103448275862
csd_phase_only,DS005620,alpha,sed,1017,Pi,0.0344827586206896,0.0747126436781609
csd_phase_only,DS005620,alpha,sed,1022,Pi,0.5689655172413793,0.4999999999999999
csd_phase_only,DS005620,alpha,sed,1024,Pi,0.6264367816091954,0.6839080459770116
csd_phase_only,DS005620,alpha,sed,1033,Pi,0.4712643678160919,0.4195402298850574
csd_phase_only,DS005620,alpha,sed,1036,Pi,0.6896551724137931,0.625
csd_phase_only,DS005620,alpha,sed,1045,Pi,0.2471264367816091,0.3793103448275862
csd_phase_only,DS005620,alpha,sed,1046,Pi,0.7528735632183906,0.7816091954022988
csd_phase_only,DS005620,alpha,sed,1054,Pi,0.6551724137931033,0.764367816091954
csd_phase_only,DS005620,alpha,sed,1055,Pi,0.6206896551724137,0.4827586206896552
csd_phase_only,DS005620,alpha,sed,1057,Pi,0.4367816091954023,0.3103448275862068
csd_phase_only,DS005620,alpha,sed,1060,Pi,0.3390804597701149,0.5114942528735632
csd_phase_only,DS005620,alpha,sed,1061,Pi,0.4310344827586206,0.3563218390804597
csd_phase_only,DS005620,alpha,sed,1062,Pi,0.3390804597701149,0.1436781609195402
csd_phase_only,DS005620,alpha,sed,1064,Pi,0.4655172413793103,0.5689655172413793
csd_phase_only,DS005620,alpha,sed,1067,Pi,0.3850574712643677,0.3045977011494252
csd_phase_only,DS005620,alpha,sed,1068,Pi,0.6839080459770114,0.8103448275862069
