replicate,cross_d_recovery_late_minus_chronic,longitudinal_mean_delta
395,-0.5813102742922239,-0.10285492765251547
396,0.2581762592164939,0.06524644351641957
397,-0.35118364999928414,-0.012545027735608609
398,0.5650394513924023,-0.0993752367212437
399,-0.051601663993838566,-0.07801842231613897
400,-0.04691164075175671,0.010124414525408711
401,0.1160908563271947,0.043261808211456004
402,-0.39443252598080264,0.07105873195016305
403,-1.1052528385069493,-0.03670591476839037
404,-0.30017895668566796,-0.1145954591090601
405,0.2308679466807636,0.10128888820057641
406,0.7830202149035893,-0.07279001012729067
407,-0.376478339752575,0.011036990306348797
408,-0.14374093324250106,-0.049198890669719754
409,0.4470295613734737,-0.047776121461167914
410,0.14736825177397272,0.03250593439184335
411,0.7380523490915079,0.045918930664710284
412,0.06301279171377121,-0.028157547033818748
413,0.09645929603154264,-0.028850348835004765
414,0.3989895707326066,-0.08186256349155749
415,-0.4777157037788385,0.03033526112860137
416,0.4224180590934977,-0.03500126585519561
417,-1.162410244382113,-0.010229436086201872
418,-0.8353771812373564,0.13497761729673516
419,-0.4123294312904963,-0.009679896559208402
420,0.04490673219576583,0.005722557974944787
421,0.8784887343490502,-0.15083146739656245
422,-0.12454784618453943,-0.05019124910662262
423,-0.30297876270063795,-0.04127469119784009
424,-0.8414686531164377,-0.01936994759361606
425,-0.48774696816805385,0.03970204430542825
426,-0.31718830028517875,-0.04690636693245593
427,0.62611970027388,-0.032807790509347505
428,2.9571378310735694,0.08060773188265521
429,0.09424359046072109,0.08509547511992559
430,0.276240917913824,-0.01982206367797012
431,-0.052624465360068574,0.04745550282489232
432,0.2657430904533058,0.18943105813081343
433,-0.005477715996945837,-0.1317105220697596
434,-0.8120580240084677,0.008638272942873837
435,-0.177750057070515,-0.03811263101373766
436,0.7324066096203611,-0.0031550457685996266
437,0.7719246199180745,0.04990824004117814
438,1.8962599963461704,0.08978598016202104
439,-0.6551195429001474,0.1161398879428614
440,0.15447685823870128,0.029790615450582234
441,0.114064711545763,0.0490782713232976
442,0.2332524455200795,0.018740046444926772
443,0.7448729802168622,0.09536772354557696
444,0.07860955821673292,-0.040573506549224946
445,0.7270373753240389,0.03587845219105172
446,0.7471215323839026,0.16536680924279304
447,-0.3343039592227609,-0.05443417210200871
448,-0.4913915216553748,-0.026088516946873384
449,-0.00910230015174786,-0.0819128810971624
450,0.6103545367929659,0.008747837734753603
451,-1.0911037364873086,-0.02949678051014411
452,-0.10870363932658768,0.09080043179104298
453,0.35078248052028843,0.09940642194770692
454,0.36339014080819904,0.007516846677322908
455,0.41514250300639904,0.04169979180840999
456,-0.5641863971285787,0.03348003680002876
457,-0.07399670541394826,-0.023192189447366174
458,0.34150318712365724,0.059850763712785464
459,0.38208333888459606,0.02165556998268047
460,0.12940141876079844,-0.041854211743662335
461,-0.559812877303745,-0.043485325603763114
462,0.2982082828895471,0.031624805593444896
463,-0.5868439064402456,0.06728339536089656
464,-0.058695352597441026,-0.044686182494775434
465,0.06290773823089209,0.08354542220951298
466,0.4306956739333143,0.03131955967681413
467,0.7178645553342579,0.08373976253723309
468,-0.3796153496350673,-0.052351945112200655
469,-0.01176368751007289,0.019298462045197903
470,-0.003553076648910564,-0.044221038341304475
471,0.7337709419374359,0.05582321978700175
472,-0.046325169980677885,-0.05556005711238226
473,-1.1412515705847552,-0.011323680090653286
474,-0.9693750360098199,0.029578075959795596
475,0.345971376882402,-0.05814417370452751
476,0.8590279308018335,0.08166410499123031
477,-0.1712700090244993,0.07261113432253262
478,0.291072673911861,0.059602848538714955
479,0.5211744303379932,-0.05250497064615183
480,0.5368667743028834,-0.02217908365950011
481,-1.054325608789838,-0.006773452523500765
482,-0.6299377523779006,-0.011045322059308773
483,-1.528025031180415,-0.11995009794676055
484,0.8162417845412324,0.0013423682863099768
485,0.6778787545724148,0.0187774308616537
486,0.5985840579161791,0.06285711946475205
487,-0.7382028681064086,0.03843754469697294
488,-0.060718909417241326,0.11653089283909475
489,-0.7362236038693365,-0.025975780928867473
490,-0.3560507201245548,-0.02568132988722449
491,-0.23923717705358907,-0.08150458173972935
492,-0.10950259814286538,-0.03664190665478129
493,0.08478125291440447,0.15590524064841532
494,0.16873097006736418,-0.06648507398548881
495,0.5545373141395991,0.056342964220136675
496,1.0118308238553648,-0.0031837848272752434
497,0.3835178665458621,0.00033907672226447957
498,-1.0019680753433395,0.02204159094684723
499,-0.5976577706932832,0.11790127065291421
