n_rows,n_subjects,positive_rate,roc_auc,average_precision,balanced_accuracy,accuracy,brier,log_loss,task_name,model,features,combo,gsr,atlas,n_permutations,auc_permutation_p,balanced_accuracy_permutation_p,log_loss_permutation_p
147,26,0.3469387755102041,0.9642565359477124,0.9389257863766712,0.8936887254901961,0.891156462585034,0.0770336876263641,0.2415360752273605,responsive_vs_lor_all_phases,full_standard_plus_gcc,"fd_mean,fd_max,esc_mean,esc_max,plas_mean,plas_max,mean_fc,mean_abs_fc,R_phase_mean,D_eff_mean,M_tau_mean,Pi_fMRI",withGSR_4S256,with_GSR,4S256,10000.0,9.999000099990002e-05,9.999000099990002e-05,9.999000099990002e-05
50,25,0.5,0.9808,0.9870270270270272,0.98,0.98,0.050116009133361,0.204285406101756,prelor_vs_lor_task2,confounds_motion_propofol,"fd_mean,fd_max,esc_mean,esc_max,plas_mean,plas_max",withGSR_4S256,with_GSR,4S256,10000.0,9.999000099990002e-05,9.999000099990002e-05,9.999000099990002e-05
50,25,0.5,0.9856,0.9879833333333334,0.96,0.96,0.0421469752719029,0.1603638272781667,prelor_vs_lor_task2,standard_fc_plus_confounds,"fd_mean,fd_max,esc_mean,esc_max,plas_mean,plas_max,mean_fc,mean_abs_fc",withGSR_4S256,with_GSR,4S256,10000.0,9.999000099990002e-05,9.999000099990002e-05,9.999000099990002e-05
50,25,0.5,0.984,0.9870363636363636,0.96,0.96,0.0468678595529147,0.169321515356991,prelor_vs_lor_task2,gcc_core_plus_confounds,"fd_mean,fd_max,esc_mean,esc_max,plas_mean,plas_max,R_phase_mean,D_eff_mean,M_tau_mean",withGSR_4S256,with_GSR,4S256,10000.0,9.999000099990002e-05,9.999000099990002e-05,9.999000099990002e-05
50,25,0.5,0.9824,0.9852972332015812,0.96,0.96,0.0503430131599943,0.1802015572723617,prelor_vs_lor_task2,gcc_regime_plus_confounds,"fd_mean,fd_max,esc_mean,esc_max,plas_mean,plas_max,R_phase_mean,D_eff_mean,M_tau_mean,Pi_fMRI",withGSR_4S256,with_GSR,4S256,10000.0,9.999000099990002e-05,9.999000099990002e-05,9.999000099990002e-05
50,25,0.5,0.9808,0.9834790513833992,0.94,0.94,0.0521721032264051,0.1798091911345619,prelor_vs_lor_task2,full_standard_plus_gcc,"fd_mean,fd_max,esc_mean,esc_max,plas_mean,plas_max,mean_fc,mean_abs_fc,R_phase_mean,D_eff_mean,M_tau_mean,Pi_fMRI",withGSR_4S256,with_GSR,4S256,10000.0,9.999000099990002e-05,9.999000099990002e-05,9.999000099990002e-05
38,19,0.5,0.9556786703601108,0.9674855554678798,0.9210526315789472,0.9210526315789472,0.0784233306543368,0.2625570451364868,lor_vs_ror_task3,confounds_motion_propofol,"fd_mean,fd_max,esc_mean,esc_max,plas_mean,plas_max",withGSR_4S256,with_GSR,4S256,10000.0,9.999000099990002e-05,9.999000099990002e-05,9.999000099990002e-05
38,19,0.5,0.9778393351800554,0.980403908321528,0.8947368421052632,0.8947368421052632,0.0710167949597232,0.2171261635378398,lor_vs_ror_task3,standard_fc_plus_confounds,"fd_mean,fd_max,esc_mean,esc_max,plas_mean,plas_max,mean_fc,mean_abs_fc",withGSR_4S256,with_GSR,4S256,10000.0,9.999000099990002e-05,9.999000099990002e-05,9.999000099990002e-05
38,19,0.5,0.9778393351800554,0.9792842176743102,0.8947368421052632,0.8947368421052632,0.0665255924547256,0.2023564451087814,lor_vs_ror_task3,gcc_core_plus_confounds,"fd_mean,fd_max,esc_mean,esc_max,plas_mean,plas_max,R_phase_mean,D_eff_mean,M_tau_mean",withGSR_4S256,with_GSR,4S256,10000.0,9.999000099990002e-05,0.0001999800019998,9.999000099990002e-05
38,19,0.5,0.9861495844875346,0.986800334168755,0.8947368421052632,0.8947368421052632,0.0554567627722844,0.1784839959733287,lor_vs_ror_task3,gcc_regime_plus_confounds,"fd_mean,fd_max,esc_mean,esc_max,plas_mean,plas_max,R_phase_mean,D_eff_mean,M_tau_mean,Pi_fMRI",withGSR_4S256,with_GSR,4S256,10000.0,9.999000099990002e-05,0.0001999800019998,9.999000099990002e-05
38,19,0.5,0.9833795013850416,0.9846358320042528,0.8947368421052632,0.8947368421052632,0.0576458548027296,0.180896472098772,lor_vs_ror_task3,full_standard_plus_gcc,"fd_mean,fd_max,esc_mean,esc_max,plas_mean,plas_max,mean_fc,mean_abs_fc,R_phase_mean,D_eff_mean,M_tau_mean,Pi_fMRI",withGSR_4S256,with_GSR,4S256,10000.0,9.999000099990002e-05,9.999000099990002e-05,9.999000099990002e-05
