variant_id,variant_label,graph_type,control_id,strength_rel_error_mean,strength_rel_error_median,strength_rel_error_max,n_nodes,n_edges,backbone_nodes,backbone_fraction,alpha_S_max,external_mass_mean,internal_mass_mean,internal_minus_external_mean,raw_backbone_internal_weight,raw_backbone_external_weight,raw_backbone_internal_fraction_of_incident,raw_backbone_internal_fraction_of_total,requested_swaps,completed_swaps,attempts
brc_v3_200k_fibercount_conf50,200k FC 50%,degree_strength_preserving,10,2.0722929253720195e-17,0.0,3.2297397080004555e-16,798,4275,80,0.10025062656641603,0.7210152560221584,0.43197045850828236,0.5680295414917176,0.13605908298343522,18093.675324570388,29100.149350859225,0.5542768623264909,0.292747127317845,51300.0,51300.0,58733.0
brc_v3_200k_fibercount_conf50,200k FC 50%,degree_strength_preserving,11,0.001365663037496159,0.0,0.35400640077266016,798,4275,80,0.10025062656641603,0.8615365891447855,0.43371968363161423,0.5662803163683858,0.13256063273677152,17424.98669721782,30437.52660556435,0.5337924318504407,0.28193057616119077,51300.0,51300.0,58771.0
brc_v3_20k_electrical_conf50,20k EC 50%,real,-1,0.0,0.0,0.0,467,980,47,0.1006423982869379,1.0,0.4796992875057958,0.5203007124942042,0.04060142498840862,76.16303415223956,115.97749698534608,0.5677377717285806,0.2967166316949777,,,
brc_v3_20k_electrical_conf50,20k EC 50%,degree_preserving,0,0.6453543451456661,0.27493676229980696,28.648813545504108,467,980,47,0.1006423982869379,0.9435785884273215,0.6001869006974904,0.3998130993025095,-0.20037380139498076,33.9897639863193,135.495521184057,0.3340926971359901,0.13241762745387375,11760.0,11760.0,14826.0
brc_v3_20k_electrical_conf50,20k EC 50%,degree_preserving,1,0.5496086553940115,0.28677054571877264,13.789543201247819,467,980,47,0.1006423982869379,0.908481805603849,0.6136559626858676,0.3863440373141324,-0.22731192537173517,36.855590023100376,137.97444110363722,0.34821061367236456,0.14358233823676794,11760.0,11760.0,14812.0
brc_v3_20k_electrical_conf50,20k EC 50%,degree_preserving,2,0.5399252636942251,0.2785239711107244,9.909798263235114,467,980,47,0.1006423982869379,1.0,0.6302296144891122,0.36977038551088776,-0.26045922897822443,31.552179142832756,137.2111990340054,0.3150247496002583,0.12292126255349,11760.0,11760.0,14884.0
brc_v3_20k_electrical_conf50,20k EC 50%,degree_preserving,3,0.5648953619953309,0.27786494605737183,13.296979191558798,467,980,47,0.1006423982869379,0.9297077281137821,0.6555621388041292,0.3444378611958707,-0.31112427760825845,30.261622078716755,145.24382381513715,0.29413474543701734,0.11789349876575493,11760.0,11760.0,14881.0
brc_v3_20k_electrical_conf50,20k EC 50%,degree_preserving,4,0.5200872991389104,0.2796694138727323,8.843056318861588,467,980,47,0.1006423982869379,1.0,0.5831208387149943,0.4168791612850057,-0.16624167742998863,38.33087608218193,138.31825093925,0.3565994560313371,0.14932977090025992,11760.0,11760.0,14753.0
brc_v3_20k_electrical_conf50,20k EC 50%,degree_preserving,5,0.5441271398730444,0.28110178857437895,25.088568621101274,467,980,47,0.1006423982869379,0.9258191969164531,0.6316181309785169,0.3683818690214829,-0.2632362619570341,31.573422979563475,145.75762222334743,0.3022761863761061,0.12300402448320011,11760.0,11760.0,14948.0
brc_v3_20k_electrical_conf50,20k EC 50%,degree_preserving,6,0.5306232841791172,0.30777319755959986,16.7706667733189,467,980,47,0.1006423982869379,0.9307678396778029,0.5922973600424338,0.4077026399575661,-0.18459472008486771,33.94035004079342,138.63916398957372,0.32868847937163653,0.13222512016161053,11760.0,11760.0,14870.0
