task_name,model,permutation,n_rows,n_subjects,positive_rate,roc_auc,average_precision,balanced_accuracy,accuracy,brier,log_loss
prelor_vs_lor_task2,gcc_regime_plus_confounds,75,50,25,0.5,0.5024,0.5023291661917648,0.54,0.54,0.2843297183453795,0.8042007468313089
prelor_vs_lor_task2,gcc_regime_plus_confounds,76,50,25,0.5,0.5072000000000001,0.5370672985345419,0.45999999999999996,0.46,0.27850741813546664,0.7659179039922216
prelor_vs_lor_task2,gcc_regime_plus_confounds,77,50,25,0.5,0.5968,0.5494078403097584,0.5800000000000001,0.58,0.2553615707543771,0.7165182813557582
prelor_vs_lor_task2,gcc_regime_plus_confounds,78,50,25,0.5,0.44639999999999996,0.4871089405258647,0.54,0.54,0.30014883352889166,0.8313694677901847
prelor_vs_lor_task2,gcc_regime_plus_confounds,79,50,25,0.5,0.4,0.435731117002231,0.4,0.4,0.28183734454059456,0.761571066440608
prelor_vs_lor_task2,gcc_regime_plus_confounds,80,50,25,0.5,0.6512,0.6660347819588643,0.6000000000000001,0.6,0.24462279519764407,0.707064784886759
prelor_vs_lor_task2,gcc_regime_plus_confounds,81,50,25,0.5,0.45280000000000004,0.464147484166251,0.48,0.48,0.29132829043420483,0.7893263602991654
prelor_vs_lor_task2,gcc_regime_plus_confounds,82,50,25,0.5,0.47519999999999996,0.48720672795194825,0.54,0.54,0.2978675840613942,0.8176991730935367
prelor_vs_lor_task2,gcc_regime_plus_confounds,83,50,25,0.5,0.41280000000000006,0.4623087547932329,0.45999999999999996,0.46,0.30085341669323423,0.8691299231132392
prelor_vs_lor_task2,gcc_regime_plus_confounds,84,50,25,0.5,0.31520000000000004,0.39792563639857337,0.42,0.42,0.3163470784880834,0.8409750280894761
prelor_vs_lor_task2,gcc_regime_plus_confounds,85,50,25,0.5,0.2368,0.3670136709611143,0.30000000000000004,0.3,0.3143970827007376,0.8356351251902212
prelor_vs_lor_task2,gcc_regime_plus_confounds,86,50,25,0.5,0.5968,0.5342576958485804,0.64,0.64,0.26540577603836935,0.7605598454348359
prelor_vs_lor_task2,gcc_regime_plus_confounds,87,50,25,0.5,0.5344,0.5073391035415379,0.52,0.52,0.2767776029915135,0.7816028242900263
prelor_vs_lor_task2,gcc_regime_plus_confounds,88,50,25,0.5,0.4864,0.5447237786162074,0.48000000000000004,0.48,0.2813868013974849,0.7674823956237888
prelor_vs_lor_task2,gcc_regime_plus_confounds,89,50,25,0.5,0.3088,0.3932253376102545,0.4,0.4,0.3169702101067917,0.8656005170657751
prelor_vs_lor_task2,gcc_regime_plus_confounds,90,50,25,0.5,0.5648,0.5705154035782177,0.5800000000000001,0.58,0.27189744546563116,0.7713014529060667
prelor_vs_lor_task2,gcc_regime_plus_confounds,91,50,25,0.5,0.4608,0.47292398233127414,0.48000000000000004,0.48,0.29470186723970565,0.8044090695736168
prelor_vs_lor_task2,gcc_regime_plus_confounds,92,50,25,0.5,0.4672,0.46480369421482,0.5,0.5,0.2886795123109673,0.7808889244561841
prelor_vs_lor_task2,gcc_regime_plus_confounds,93,50,25,0.5,0.32480000000000003,0.4116072953958919,0.42000000000000004,0.42,0.3099687558725075,0.8239990769658142
prelor_vs_lor_task2,gcc_regime_plus_confounds,94,50,25,0.5,0.41439999999999994,0.48739530759509897,0.48,0.48,0.3016200662123205,0.8167629158015233
prelor_vs_lor_task2,gcc_regime_plus_confounds,95,50,25,0.5,0.32000000000000006,0.4167309853033672,0.44,0.44,0.31612577431510974,0.8488708542923227
prelor_vs_lor_task2,gcc_regime_plus_confounds,96,50,25,0.5,0.48960000000000004,0.5441592611683556,0.52,0.52,0.2922417631958838,0.804713646462804
