subject,condition,acq,run,filename,band,n_channels,duration_s,R_mean,D_mean,M_mean,Pi,Access_all,n_windows,theta_power,alpha_power,beta_power,gamma_power,alpha_gamma_ratio,spectral_entropy
1055,awake,EC,,sub-1055_task-awake_acq-EC_eeg.vhdr,alpha,62,120.0,0.1142804753737643,2.9259163464358813,0.0030962422255566,0.8312236286919831,0.5864978902953587,237,0.1353912891393796,0.459000956492011,0.1104585078890327,0.0152149835287096,30.16769328706391,0.7570081066320138
1055,sed2,rest,1.0,sub-1055_task-sed2_acq-rest_run-1_eeg.vhdr,alpha,62,60.0,0.1155294090255012,3.1323580161867945,0.0034387502810246,0.905982905982906,0.7350427350427351,117,0.0915134239896871,0.3642957452122463,0.0913363015070006,0.0060122626589722,60.59212077303494,0.6966073182063697
1055,sed2,rest,2.0,sub-1055_task-sed2_acq-rest_run-2_eeg.vhdr,alpha,62,60.0,0.1178798376997403,3.0147305002175746,0.0071411217771103,0.8717948717948719,0.7008547008547008,117,0.0585630102399526,0.1686024393846509,0.0618183404623461,0.0049670835952786,33.943950432194846,0.5380585283774583
1055,sed,rest,1.0,sub-1055_task-sed_acq-rest_run-1_eeg.vhdr,alpha,62,120.0,0.1089475630069629,3.358647190707995,0.0048805232826894,0.8382559774964836,0.6244725738396625,237,0.0833985399614801,0.2717744980339859,0.1127724174043336,0.0064448942396713,42.16896164391887,0.707847470158222
1055,sed,rest,2.0,sub-1055_task-sed_acq-rest_run-2_eeg.vhdr,alpha,62,120.0,0.1145103820563863,3.179806259371728,0.0033282452119795,0.9142053445850916,0.7510548523206751,237,0.1007644351602827,0.3288085211624217,0.0911392359927947,0.0056606392262979,58.08681810647268,0.7055641485176958
1057,awake,EC,,sub-1057_task-awake_acq-EC_eeg.vhdr,alpha,62,120.0,0.229733274628408,2.2160157098269333,0.0033184675735166,0.8312236286919831,0.6371308016877637,237,0.0986127775232235,0.556994511231648,0.0715250068402509,0.0146088679864892,38.12715069426646,0.7093184848800753
1057,sed2,rest,1.0,sub-1057_task-sed2_acq-rest_run-1_eeg.vhdr,alpha,62,60.0,0.1312712992818907,2.9322353083757813,0.0038813715983385,0.4273504273504274,0.0,117,0.0590632318166194,0.1448056102887632,0.0248668936725994,0.0030588078399597,47.34053847701869,0.463324135611418
1057,sed2,rest,2.0,sub-1057_task-sed2_acq-rest_run-2_eeg.vhdr,alpha,62,60.0,0.0937128060659472,3.5722331503999945,0.0023011943653913,0.3190883190883192,0.0,117,0.0801986898273689,0.2132344285881824,0.1698133701283772,0.0072387186052041,29.45748276572385,0.6633523397728278
1057,sed2,rest,3.0,sub-1057_task-sed2_acq-rest_run-3_eeg.vhdr,alpha,62,60.0,0.1489643737160922,2.669065664793125,0.00361946888375,0.5470085470085471,0.0256410256410256,117,0.0543958478058772,0.1439182337692932,0.0264165172674019,0.0028440624902148,50.60304905881879,0.4547549986003359
1057,sed,rest,1.0,sub-1057_task-sed_acq-rest_run-1_eeg.vhdr,alpha,62,120.0,0.1257902442339216,3.2137531403246777,0.0035854249604335,0.3839662447257382,0.0,237,0.089460669800247,0.345940600245888,0.0678273096700478,0.0037825347774161,91.45734818352216,0.6795305658626071
1057,sed,rest,2.0,sub-1057_task-sed_acq-rest_run-2_eeg.vhdr,alpha,62,120.0,0.1001595762056735,3.482703356630373,0.0028852288922649,0.3572433192686357,0.0,237,0.095562041546925,0.2579387297362815,0.1300618347692632,0.0058798146659202,43.86851360935623,0.6808631543027286
1057,sed,rest,3.0,sub-1057_task-sed_acq-rest_run-3_eeg.vhdr,alpha,62,120.0,0.1186638359671031,3.16433994139425,0.0035089793748556,0.3938115330520393,0.0,237,0.0875311870487286,0.2445093663901621,0.0568618467017338,0.0041288214829298,59.220135174610334,0.6074586959031298
1060,awake,EC,,sub-1060_task-awake_acq-EC_eeg.vhdr,alpha,62,120.0,0.1196641129278213,2.8525776864399104,0.0027196582235111,0.8312236286919831,0.569620253164557,237,0.1154133092715069,0.3769729760107889,0.1333494710063353,0.099430980950711,3.791302996335388,0.8605967948207502
